feature,importance
earliest_cr_line_Jun_98,0.0025854579
earliest_cr_line_Nov_08,0.0025826788
purpose_other,0.002575544
total_acc,0.0025722536
earliest_cr_line_Aug_86,0.0025700505
earliest_cr_line_Aug_07,0.0025692338
tax_liens,0.0025387355
earliest_cr_line_May_01,0.0025167551
earliest_cr_line_Sep_08,0.0025094273
sub_grade_E1,0.0025062002
earliest_cr_line_Mar_98,0.0024544324
earliest_cr_line_May_84,0.0024446205
addr_state_NE,0.0024254445
earliest_cr_line_Dec_92,0.0024246606
purpose_home_improvement,0.0023953787
addr_state_MN,0.0023942369
purpose_debt_consolidation,0.0023881344
addr_state_UT,0.0023864554
earliest_cr_line_Oct_01,0.002379051
emp_length_7_years,0.002357143
emp_length_6_years,0.0023304613
addr_state_IN,0.0023212882
purpose_moving,0.0023132605
addr_state_AZ,0.0022836134
addr_state_PA,0.0022804672
sub_grade_B4,0.0022471072
sub_grade_D5,0.0022156548
sub_grade_C4,0.0021810608
fico_avg,0.002169966
sub_grade_C2,0.002157232
emp_length_9_years,0.0021571068
sub_grade_B5,0.0021411986
earliest_cr_line_Feb_09,0.002138844
earliest_cr_line_Nov_92,0.0021305536
earliest_cr_line_May_11,0.002049483
earliest_cr_line_Mar_05,0.002022098
earliest_cr_line_Jul_92,0.0020108335
earliest_cr_line_Dec_04,0.001984953
high_dti_flag,0.0019564903
sub_grade_D3,0.0019350733
addr_state_FL,0.0018697245
emp_length___1_year,0.0018435847
sub_grade_D2,0.001800279
earliest_cr_line_May_89,0.0017170507
emp_length_8_years,0.0017111979
earliest_cr_line_Apr_93,0.0016725074
addr_state_VA,0.0015872801
sub_grade_C5,0.0015383454
addr_state_OH,0.0014896226
earliest_cr_line_Aug_96,0.0014614789
sub_grade_A3,0.0014322955
sub_grade_E2,0.0013766885
sub_grade_E3,0.0013252251
earliest_cr_line_Aug_94,0.001164852
addr_state_MO,0.0008875431
emp_length_4_years,0.00070756377
purpose_medical,0.00038603955
emp_length_3_years,0.00026988145
earliest_cr_line_Sep_63,0.0
earliest_cr_line_Apr_77,0.0
earliest_cr_line_Apr_78,0.0
earliest_cr_line_Apr_79,0.0
earliest_cr_line_Apr_80,0.0
addr_state_MI,0.0
addr_state_ND,0.0
addr_state_NM,0.0
addr_state_NV,0.0
earliest_cr_line_Apr_81,0.0
earliest_cr_line_Apr_82,0.0
earliest_cr_line_Apr_83,0.0
earliest_cr_line_Apr_84,0.0
earliest_cr_line_Apr_85,0.0
earliest_cr_line_Apr_87,0.0
earliest_cr_line_Apr_89,0.0
earliest_cr_line_Apr_90,0.0
earliest_cr_line_Apr_91,0.0
earliest_cr_line_Apr_92,0.0
earliest_cr_line_Apr_96,0.0
earliest_cr_line_Apr_98,0.0
earliest_cr_line_Apr_99,0.0
earliest_cr_line_Aug_00,0.0
earliest_cr_line_Aug_02,0.0
earliest_cr_line_Aug_04,0.0
earliest_cr_line_Aug_05,0.0
earliest_cr_line_Aug_06,0.0
earliest_cr_line_Aug_10,0.0
earliest_cr_line_Aug_12,0.0
earliest_cr_line_Aug_51,0.0
earliest_cr_line_Aug_59,0.0
earliest_cr_line_Aug_60,0.0
earliest_cr_line_Aug_64,0.0
earliest_cr_line_Aug_65,0.0
earliest_cr_line_Aug_66,0.0
earliest_cr_line_Aug_67,0.0
earliest_cr_line_Aug_68,0.0
earliest_cr_line_Aug_69,0.0
earliest_cr_line_Aug_70,0.0
earliest_cr_line_Aug_71,0.0
earliest_cr_line_Aug_72,0.0
earliest_cr_line_Aug_73,0.0
earliest_cr_line_Aug_74,0.0
earliest_cr_line_Aug_75,0.0
earliest_cr_line_Aug_76,0.0
earliest_cr_line_Aug_77,0.0
earliest_cr_line_Aug_78,0.0
earliest_cr_line_Aug_79,0.0
earliest_cr_line_Aug_80,0.0
earliest_cr_line_Aug_81,0.0
earliest_cr_line_Aug_82,0.0
earliest_cr_line_Aug_83,0.0
earliest_cr_line_Aug_84,0.0
earliest_cr_line_Aug_85,0.0
earliest_cr_line_Aug_87,0.0
earliest_cr_line_Aug_88,0.0
earliest_cr_line_Apr_60,0.0
earliest_cr_line_Apr_62,0.0
earliest_cr_line_Apr_63,0.0
earliest_cr_line_Apr_64,0.0
earliest_cr_line_Apr_65,0.0
earliest_cr_line_Apr_66,0.0
earliest_cr_line_Apr_68,0.0
earliest_cr_line_Apr_69,0.0
earliest_cr_line_Apr_70,0.0
earliest_cr_line_Apr_71,0.0
earliest_cr_line_Apr_72,0.0
earliest_cr_line_Apr_73,0.0
earliest_cr_line_Apr_74,0.0
earliest_cr_line_Apr_75,0.0
earliest_cr_line_Apr_76,0.0
earliest_cr_line_Aug_89,0.0
earliest_cr_line_Aug_90,0.0
earliest_cr_line_Aug_92,0.0
addr_state_DE,0.0
addr_state_KS,0.0
addr_state_KY,0.0
earliest_cr_line_Aug_93,0.0
earliest_cr_line_Aug_95,0.0
earliest_cr_line_Aug_97,0.0
earliest_cr_line_Aug_99,0.0
